Seq,DateListed,統計日期,年度,縣市,縣市別代碼,統計項目,面積,資料筆數
394,"20240906","20231017","112","屏東縣","10013","國有土地","27779.781","27040"
395,"20240906","20231017","112","屏東縣","10013","省有土地","0","0"
396,"20240906","20231017","112","屏東縣","10013","縣有土地","8.111","272"
397,"20240906","20231017","112","屏東縣","10013","鄉有土地","4.732","101"
398,"20240906","20231017","112","屏東縣","10013","公有土地","27792.624","27413"
399,"20240906","20231017","112","屏東縣","10013","其他單位","3.32","21"
400,"20240906","20231017","112","屏東縣","10013","所有權部總計","68039.05","126437"
401,"20240906","20231017","112","花蓮縣","10015","私有保留地","16113.862","70383"
402,"20240906","20231017","112","花蓮縣","10015","國有土地","14851.852","23993"
403,"20240906","20231017","112","花蓮縣","10015","省有土地","0","0"
404,"20240906","20231017","112","花蓮縣","10015","縣有土地","10.837","160"
405,"20240906","20231017","112","花蓮縣","10015","鄉有土地","15.915","143"
406,"20240906","20231017","112","花蓮縣","10015","公有土地","14878.604","24296"
407,"20240906","20231017","112","花蓮縣","10015","其他單位","2.106","16"
408,"20240906","20231017","112","花蓮縣","10015","所有權部總計","30994.572","94695"
409,"20240906","20231017","112","臺東縣","10014","私有保留地","19754.019","55989"
410,"20240906","20231017","112","臺東縣","10014","國有土地","28762.371","29888"
411,"20240906","20231017","112","臺東縣","10014","省有土地","0","0"
412,"20240906","20231017","112","臺東縣","10014","縣有土地","47.003","577"
413,"20240906","20231017","112","臺東縣","10014","鄉有土地","18.051","262"
414,"20240906","20231017","112","臺東縣","10014","公有土地","28827.425","30727"
415,"20240906","20231017","112","臺東縣","10014","其他單位","2.864","11"
416,"20240906","20231017","112","臺東縣","10014","所有權部總計","48584.308","86727"
417,"20240906","20240409","113","臺中市","66000","私有保留地","1340.98","6559"
418,"20240906","20240409","113","臺中市","66000","國有土地","5040.02","13267"
419,"20240906","20240409","113","臺中市","66000","省有土地","0","0"
420,"20240906","20240409","113","臺中市","66000","縣有土地","0","0"
421,"20240906","20240409","113","臺中市","66000","鄉有土地","5.289","71"
422,"20240906","20240409","113","臺中市","66000","公有土地","5045.31","13338"
423,"20240906","20240409","113","臺中市","66000","其他單位","1.254","2"
424,"20240906","20240409","113","臺中市","66000","所有權部總計","6387.55","19899"
425,"20240906","20240409","113","基隆市","10017","私有保留地","0.286","192"
426,"20240906","20240409","113","基隆市","10017","國有土地","3.101","47"
427,"20240906","20240409","113","基隆市","10017","省有土地","0","0"
428,"20240906","20240409","113","基隆市","10017","縣有土地","0","0"
429,"20240906","20240409","113","基隆市","10017","鄉有土地","0.064","2"
430,"20240906","20240409","113","基隆市","10017","公有土地","3.165","49"
431,"20240906","20240409","113","基隆市","10017","其他單位","0.001","0"
432,"20240906","20240409","113","基隆市","10017","所有權部總計","3.452","241"
433,"20240906","20240409","113","高雄市","64000","私有保留地","9303.58","19862"
434,"20240906","20240409","113","高雄市","64000","國有土地","7437.16","6664"
435,"20240906","20240409","113","高雄市","64000","省有土地","0","0"
436,"20240906","20240409","113","高雄市","64000","縣有土地","0","0"
437,"20240906","20240409","113","高雄市","64000","鄉有土地","17.68","191"
438,"20240906","20240409","113","高雄市","64000","公有土地","7454.84","6855"
439,"20240906","20240409","113","高雄市","64000","其他單位","1.867","5"
440,"20240906","20240409","113","高雄市","64000","所有權部總計","16760.28","26722"
441,"20240906","20240409","113","新北市","65000","私有保留地","1020.06","5609"
442,"20240906","20240409","113","新北市","65000","國有土地","1089.03","4063"
443,"20240906","20240409","113","新北市","65000","省有土地","0","0"
444,"20240906","20240409","113","新北市","65000","縣有土地","0","0"
445,"20240906","20240409","113","新北市","65000","鄉有土地","0.272","11"
446,"20240906","20240409","113","新北市","65000","公有土地","1089.3","4074"
447,"20240906","20240409","113","新北市","65000","其他單位","0.498","14"
448,"20240906","20240409","113","新北市","65000","所有權部總計","2109.86","9697"
449,"20240906","20240409","113","宜蘭縣","10002","私有保留地","6525.74","25641"
450,"20240906","20240409","113","宜蘭縣","10002","國有土地","8222.09","11208"
451,"20240906","20240409","113","宜蘭縣","10002","省有土地","0","0"
452,"20240906","20240409","113","宜蘭縣","10002","縣有土地","2.511","70"
453,"20240906","20240409","113","宜蘭縣","10002","鄉有土地","2.474","57"
454,"20240906","20240409","113","宜蘭縣","10002","公有土地","8227.07","11335"
455,"20240906","20240409","113","宜蘭縣","10002","其他單位","2.621","6"
456,"20240906","20240409","113","宜蘭縣","10002","所有權部總計","14755.44","36982"
457,"20240906","20240409","113","桃園市","68000","私有保留地","5453.17","24999"
458,"20240906","20240409","113","桃園市","68000","國有土地","6622.2","15154"
459,"20240906","20240409","113","桃園市","68000","省有土地","0","0"
460,"20240906","20240409","113","桃園市","68000","縣有土地","0","0"
461,"20240906","20240409","113","桃園市","68000","鄉有土地","1.89","13"
462,"20240906","20240409","113","桃園市","68000","公有土地","6624.09","15167"
463,"20240906","20240409","113","桃園市","68000","其他單位","9.016","94"
464,"20240906","20240409","113","桃園市","68000","所有權部總計","12086.28","40260"
465,"20240906","20240409","113","新竹縣","10004","私有保留地","12829.48","36914"
466,"20240906","20240409","113","新竹縣","10004","國有土地","5314.79","10191"
467,"20240906","20240409","113","新竹縣","10004","省有土地","0","0"
468,"20240906","20240409","113","新竹縣","10004","縣有土地","1.749","45"
469,"20240906","20240409","113","新竹縣","10004","鄉有土地","0.894","20"
470,"20240906","20240409","113","新竹縣","10004","公有土地","5317.44","10256"
471,"20240906","20240409","113","新竹縣","10004","其他單位","3.468","10"
472,"20240906","20240409","113","新竹縣","10004","所有權部總計","18150.38","47180"
473,"20240906","20240409","113","苗栗縣","10005","私有保留地","5459.69","20151"
474,"20240906","20240409","113","苗栗縣","10005","國有土地","3659.03","6388"
475,"20240906","20240409","113","苗栗縣","10005","省有土地","0","0"
476,"20240906","20240409","113","苗栗縣","10005","縣有土地","9.813","128"
477,"20240906","20240409","113","苗栗縣","10005","鄉有土地","0.425","16"
478,"20240906","20240409","113","苗栗縣","10005","公有土地","3669.27","6532"
479,"20240906","20240409","113","苗栗縣","10005","其他單位","5.878","23"
480,"20240906","20240409","113","苗栗縣","10005","所有權部總計","9134.84","26706"
481,"20240906","20240409","113","南投縣","10008","私有保留地","13187.71","40737"
482,"20240906","20240409","113","南投縣","10008","國有土地","18801.98","26023"
483,"20240906","20240409","113","南投縣","10008","省有土地","0","0"
484,"20240906","20240409","113","南投縣","10008","縣有土地","3.203","182"
485,"20240906","20240409","113","南投縣","10008","鄉有土地","3.664","93"
486,"20240906","20240409","113","南投縣","10008","公有土地","18808.84","26298"
487,"20240906","20240409","113","南投縣","10008","其他單位","1.674","15"
488,"20240906","20240409","113","南投縣","10008","所有權部總計","31998.23","67050"
489,"20240906","20240409","113","嘉義縣","10010","私有保留地","5062.86","9613"
490,"20240906","20240409","113","嘉義縣","10010","國有土地","1638.78","1922"
491,"20240906","20240409","113","嘉義縣","10010","省有土地","0","0"
492,"20240906","20240409","113","嘉義縣","10010","縣有土地","5.736","66"
493,"20240906","20240409","113","嘉義縣","10010","鄉有土地","0.23","16"
494,"20240906","20240409","113","嘉義縣","10010","公有土地","1644.74","2004"
495,"20240906","20240409","113","嘉義縣","10010","其他單位","2.315","29"
496,"20240906","20240409","113","嘉義縣","10010","所有權部總計","6709.92","11646"
497,"20240906","20240409","113","屏東縣","10013","私有保留地","40398.08","99758"
498,"20240906","20240409","113","屏東縣","10013","國有土地","27608.47","26817"
499,"20240906","20240409","113","屏東縣","10013","省有土地","0","0"
500,"20240906","20240409","113","屏東縣","10013","縣有土地","8.123","273"
501,"20240906","20240409","113","屏東縣","10013","鄉有土地","4.732","101"
502,"20240906","20240409","113","屏東縣","10013","公有土地","27621.33","27191"
503,"20240906","20240409","113","屏東縣","10013","其他單位","4.285","21"
504,"20240906","20240409","113","屏東縣","10013","所有權部總計","68023.69","126970"
505,"20240906","20240409","113","花蓮縣","10015","私有保留地","16231.76","71115"
506,"20240906","20240409","113","花蓮縣","10015","國有土地","14755.23","23875"
507,"20240906","20240409","113","花蓮縣","10015","省有土地","0","0"
508,"20240906","20240409","113","花蓮縣","10015","縣有土地","9.821","149"
509,"20240906","20240409","113","花蓮縣","10015","鄉有土地","15.645","135"
510,"20240906","20240409","113","花蓮縣","10015","公有土地","14780.7","24159"
511,"20240906","20240409","113","花蓮縣","10015","其他單位","2.052","15"
512,"20240906","20240409","113","花蓮縣","10015","所有權部總計","31014.51","95289"
513,"20240906","20240409","113","臺東縣","10014","私有保留地","19995.716","57013"
514,"20240906","20240409","113","臺東縣","10014","國有土地","28571.003","29523"
515,"20240906","20240409","113","臺東縣","10014","省有土地","0","0"
516,"20240906","20240409","113","臺東縣","10014","縣有土地","44.412","570"
517,"20240906","20240409","113","臺東縣","10014","鄉有土地","18.432","264"
518,"20240906","20240409","113","臺東縣","10014","公有土地","28633.847","30357"
519,"20240906","20240409","113","臺東縣","10014","其他單位","2.863","11"
520,"20240906","20240409","113","臺東縣","10014","所有權部總計","48632.426","87381"
